0,1
"b F , b L","Effective width of flange, loose flange [mm], Formulae (7) to (14)"
"b Gi , b Ge , b Gt","Gasket width (radial), interim, effective, theoretical [mm], Formula (51), (55), (64), (65), (69), (70), (72), (74) and (75)"
b KB,"Contact widths bolt side [mm], Formula (48)"
b W,"Width of a washer [mm], Formula (44)"
"c A , c B , c F , c M , c S","Correction factors [-],Formulae (123) to (127), (28), (134), (135)"
d 0,"Inside diameter of flange ring [mm] and also the outside diameter of central part of blank flange (with thickness e 0 ), in no case greater than inside diameter of gasket [mm], Figures 6 to 14"
d 1,"Average diameter of hub, thin end [mm], Figures 6, 7, 13 and 14"
d 2,"Average diameter of hub, thick end [mm], Figures 6, 7, 13 and 14"
"d 3 , d 3e","Bolt circle diameter, real, effective [mm], Figures 6 to 14, Formula (6)"
d 4,"Outside diameter of flange [mm], Figures 6 to 14"
"d 5 , d 5t , d 5e","Diameter of bolt hole, pierced, blind, effective [mm], Figures 6 to 14, Formulae (4), (5)"
d 6,"Inside diameter of loose flange [mm], Figures 12, 14"
d 7,"Diameter of position of reaction between loose flange and stub or collar [mm], Figure 1, Formulae (61) and (84) to (89)."
d 8,"Outside diameter of collar [mm], Figure 12"
d 9,"Diameter of a central hole in a blank flange [mm], Figure 11"
"d B0 , d Be , d Bs","Diameter of bolt: nominal diameter, effective diameter, shank diameter [mm], Figure 3, Table A.1"
"d B2 , d B3","Basic pitch diameter, basic minor diameter of thread [mm], see Figure 3"
d B4,"Maximum possible outside contact diameter between bolt head or nut and flange or washer [mm], Formula (47)"
"d Gi , d Ge , d Gt","Diameter of gasket, interim, effective, theoretical [mm], Figure 4, Formula (56), Table 1"
"d K1 , d K2","Extreme contact diameters (inside, outside) [mm], Formulae (46) and (47)"
"d G0 , d G1 , d G2","Real, theoretical inside, theoretical outside contact diameters [mm], Figure 4"
"d E , d F , d L d S , d X, d w","Average diameter of part or section designated by the subscript [mm], Figures 1 and 6 to 14"
"d w1, d w2","Inside, Outside diameter of washer [mm], Figure 1, 2"
e 0,"Wall thickness of central plate of blank flange within diameter d 0 [mm], Figure 11"
