0,1
Type 01,Figure 10
Type 02,Figure 12
Type 04,Figure 12
Type 05,Figure 11
Type 07,Figure 12
Type 11,Figure 6
Type 12,Figure 13
Type 13,Figure 14
Type 21,Figures 6 to 9
