0,1
"r 0 , r 1","Radii [mm], Figures 6, 12"
r 2,"Radius of curvature in gasket cross-section [mm], Figure 4"
∆U T,"Differential thermal axial expansions [mm], Formula (97)"
∆ e Gc,"Additional deflection of the gasket due to creep that can be defined from P QR value following the method explained in Annex F (Formula F.3). Equal to 0 if no creep of the gasket is considered, Formulae (105), (106), (120) and (121)"
"Θ F , Θ L","Rotation of flange, loose flange, due to applied moment [rad], Annex C"
Ψ,"Load ratio of flange ring due to radial force, Formula (140)"
Ψ Z,"Particular value of Ψ, Formula (130), Table 2"
"Ф B , Ф F , Ф G , Ф L , Ф X ,","Load ratio of part and/or cross-section designated by the subscript, to be calculated for all load conditions, Formulae (123), (129), (145), (151), (128), (149), (147)"
"α B , α F , α G , α L , α W","Thermal expansion coefficient of the part designated by the subscript, averaged between T 0 and T B , T F , T G , T L , T S , T W [K -1 ], Formula (97)"
"β , γ , δ , ν , κ , λ , x","Intermediate variables, Formulae (19), (25) to (27), (62), (132), (133)"
"ε 1+ , ε 1-","Scatter of initial bolt load of a single bolt, above nominal value, below nominal value, Annex B"
"ε + , ε -","Scatter for the global load of all the bolts above nominal value, below nominal value, Annex B"
µ,"Friction factor for bolting, see Annex B"
µ G,"Friction factor between the gasket and the flange facing, Table (E.1) and Formula (104)"
π,"Numerical constant ( π = 3,141593)"
ρ,Diameter ratio as given in Formula (36)
φ G,"Angle of inclination of a sealing face [rad or deg], Figure 4, Table 1"
φ S,"Angle of inclination of connected shell wall [rad or deg], Figures 8, 9"
